1,1,510.0,388.0,261.0,520.0,1,-1,-1,-1
1,2,1002.0,450.0,263.0,473.0,1,-1,-1,-1
1,3,730.0,322.0,372.0,605.0,1,-1,-1,-1
2,1,501.0,382.0,263.0,530.0,1,-1,-1,-1
2,2,1001.0,448.0,265.0,472.0,1,-1,-1,-1
2,3,712.0,315.0,385.0,614.0,1,-1,-1,-1
3,1,499.0,380.0,258.0,535.0,1,-1,-1,-1
3,2,993.0,447.0,273.0,471.0,1,-1,-1,-1
3,3,704.0,312.0,393.0,622.0,1,-1,-1,-1
4,1,497.0,377.0,249.0,539.0,1,-1,-1,-1
4,2,987.0,443.0,273.0,478.0,1,-1,-1,-1
4,3,700.0,299.0,382.0,640.0,1,-1,-1,-1
5,1,491.0,378.0,247.0,540.0,1,-1,-1,-1
5,2,978.0,441.0,278.0,482.0,1,-1,-1,-1
5,3,700.0,306.0,378.0,631.0,1,-1,-1,-1
6,1,490.0,379.0,237.0,536.0,1,-1,-1,-1
6,2,973.0,436.0,278.0,489.0,1,-1,-1,-1
6,3,701.0,307.0,372.0,630.0,1,-1,-1,-1
7,1,488.0,382.0,232.0,530.0,1,-1,-1,-1
7,2,973.0,442.0,269.0,482.0,1,-1,-1,-1
7,3,699.0,310.0,360.0,627.0,1,-1,-1,-1
8,1,490.0,382.0,227.0,531.0,1,-1,-1,-1
8,2,972.0,443.0,266.0,481.0,1,-1,-1,-1
8,3,693.0,309.0,358.0,628.0,1,-1,-1,-1
9,1,491.0,380.0,220.0,533.0,1,-1,-1,-1
9,2,976.0,446.0,257.0,480.0,1,-1,-1,-1
9,3,687.0,304.0,360.0,634.0,1,-1,-1,-1
10,1,493.0,378.0,218.0,531.0,1,-1,-1,-1
10,2,984.0,447.0,241.0,477.0,1,-1,-1,-1
10,3,690.0,321.0,369.0,604.0,1,-1,-1,-1
11,1,494.0,375.0,223.0,534.0,1,-1,-1,-1
11,2,985.0,449.0,233.0,469.0,1,-1,-1,-1
11,3,683.0,315.0,359.0,609.0,1,-1,-1,-1
12,1,489.0,377.0,225.0,533.0,1,-1,-1,-1
12,2,983.0,449.0,227.0,465.0,1,-1,-1,-1
12,3,680.0,324.0,353.0,598.0,1,-1,-1,-1
13,1,486.0,379.0,233.0,537.0,1,-1,-1,-1
13,2,959.0,452.0,243.0,453.0,1,-1,-1,-1
